Subject,All,4,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,26,28,29,30,31,33,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,55,58,59,60,61,62,63,64,65,66,67,68,69,104,106,107,109,110,111,112,113,114,115,116,117,118,119,120,121,122,126,128,129,130,131,133,135,136,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,155,158,159,160,161,162,163,164,165,166,167,168,169
g1,0.754548,0.414377,0.824801,0.734368,0.591592,0.78764,0.76436,0.677536,0.663553,0.658491,0.735732,0.768537,0.872914,0.770482,0.857714,0.851046,0.488097,0.705612,0.82917,0.799678,0.789412,0.710189,0.718714,0.768907,0.722439,0.818599,0.438859,0.224771,0.505258,0.674267,0.67078,0.429973,0.649932,0.613421,0.729253,0.657547,0.700479,0.017755,0.114695,0.115686,0.876623,0.823542,0.746046,0.553402,0.754443,0.760841,0.766181,0.727128,0.702261,0.631513,0.674802,0.729096,0.647326,0.810128,0.68586,0.655135,0.776016,0.653055,0.701805,0.753476,0.38128,0.705316,0.393389,0.707014,0.804682,0.806259,0.806001,0.799177,0.781483,0.567956,0.788131,0.868614,0.802413,0.672747,0.740105,0.767257,0.778767,0.694902,0.805476,0.71474,0.363842,0.736557,0.437372,0.641554,0.712276,0.603677,0.786882,0.766488,0.591773,0.743106,0.70534,0.726149,0.67992,0.808303,0.759458,0.767035,0.743124,0.812515,0.689037,0.47461,0.692419,0.770757,0.721483,0.658314,0.80614,0.579248,0.799134
g10,0.707612,0.606273,0.802095,0.746423,0.387942,0.697659,0.555024,0.688292,0.562967,0.483494,0.601704,0.704769,0.794676,0.619516,0.833883,0.822142,0.279942,0.620659,0.818334,0.796957,0.733279,0.705778,0.613681,0.706403,0.656626,0.5157,0.742598,0.519647,0.559102,0.143086,0.532688,0.526855,0.569492,0.56502,0.72905,0.412524,0.696624,0.405857,0.529891,0.515255,0.819595,0.548815,0.365474,0.215429,0.776787,0.682092,0.253452,0.285714,0.540454,0.588294,0.753344,0.592708,0.74261,0.666902,0.438891,0.782846,0.777745,0.703886,0.648297,0.565164,0.704506,0.696524,0.539297,0.765918,0.850674,0.899511,0.613652,0.809546,0.761973,0.400586,0.597642,0.817606,0.83424,0.641294,0.723952,0.509036,0.660466,0.412806,0.321324,0.495624,0.0642683,0.606748,0.404688,0.69169,0.559557,0.391642,0.501517,0.571196,0.457247,0.480187,0.401195,0.450207,0.444058,0.816898,0.58504,0.401431,0.346386,0.780469,0.688155,0.462406,0.563017,0.473946,0.375509,0.759448,0.800785,0.731211,0.63839
g2,0.758352,0.507848,0.85988,0.809362,0.634122,0.829259,0.742235,0.585221,0.398752,0.775046,0.265339,0.592492,0.894529,0.7405,0.831619,0.827632,0.77884,0.672776,0.868409,0.812898,0.719121,0.730371,0.695766,0.722783,0.727351,0.721166,0.755841,0.743243,0.658891,0.349574,0.611799,0.651931,0.567999,0.657789,0.73312,0.597938,0.69725,0.372206,0.454944,0.58259,0.829577,0.738653,0.766157,0.63536,0.801782,0.657569,0.544561,0.413178,0.693199,0.69396,0.73444,0.622586,0.732032,0.768349,0.304032,0.83775,0.708436,0.247783,0.816297,0.661975,0.290271,0.418822,0.700549,0.430955,0.609023,0.892142,0.763599,0.835975,0.761687,0.719783,0.708305,0.863203,0.801745,0.609923,0.595025,0.759496,0.703955,0.727701,0.64728,0.702916,0.518761,0.496624,0.267606,0.454471,0.581839,0.60018,0.76907,0.821485,0.565694,0.692015,0.344094,0.361328,0.389767,0.794797,0.808932,0.747551,0.680336,0.806559,0.540609,0.454432,0.373057,0.625623,0.582573,0.58157,0.515719,0.633583,0.803787
g3,0.786141,0.681071,0.785605,0.720197,0.534592,0.785871,0.666602,0.736673,0.641811,0.706845,0.675875,0.802707,0.88537,0.821132,0.849627,0.823067,0.329722,0.777371,0.904804,0.798436,0.679688,0.695259,0.546451,0.73357,0.672117,0.786394,0.707197,0.684634,0.777693,0.626714,0.698666,0.523658,0.436154,0.781938,0.804255,0.371152,0.69957,0.457316,0.402752,0.571429,0.827371,0.747208,0.808903,0.634004,0.75711,0.666301,0.630682,0.51787,0.746922,0.765213,0.757614,0.465064,0.698499,0.753378,0.705382,0.835526,0.827848,0.383478,0.817399,0.786214,0.806479,0.668495,0.689022,0.632494,0.736136,0.886346,0.750523,0.795588,0.829693,0.662298,0.774786,0.901652,0.822815,0.689256,0.76057,0.612457,0.757168,0.632664,0.773698,0.610373,0.537716,0.777412,0.549691,0.660223,0.48605,0.427111,0.754183,0.788795,0.41459,0.683916,0.56181,0.623514,0.695663,0.810695,0.754234,0.795795,0.783665,0.819162,0.752632,0.383023,0.422452,0.574921,0.48136,0.644862,0.648088,0.668536,0.788693
g4,0.75581,0.588226,0.690651,0.720485,0.618398,0.731066,0.744057,0.783019,0.713716,0.451868,0.64927,0.79694,0.831372,0.790718,0.857932,0.83823,0.288058,0.706628,0.880849,0.723358,0.702181,0.660757,0.673192,0.696373,0.724539,0.771748,0.696564,0.579097,0.68632,0.524427,0.661192,0.439291,0.542454,0.738652,0.76116,0.553096,0.684607,0.26958,0.32988,0.555574,0.826766,0.715058,0.775123,0.561438,0.772269,0.794286,0.284097,0.300633,0.752776,0.670639,0.7399,0.687296,0.568656,0.668466,0.719144,0.761063,0.599319,0.591095,0.713504,0.660475,0.575797,0.553794,0.671557,0.640595,0.807473,0.844076,0.714929,0.854471,0.834751,0.667362,0.66172,0.842195,0.74753,0.73788,0.61635,0.560997,0.71915,0.709302,0.750552,0.719312,0.628248,0.687054,0.554819,0.640257,0.71666,0.47433,0.755991,0.79485,0.667501,0.749583,0.527941,0.542232,0.629518,0.840638,0.769836,0.752452,0.526416,0.75421,0.545405,0.44599,0.458507,0.579399,0.612207,0.770669,0.698555,0.733469,0.781921
g5,0.739321,0.565922,0.850022,0.767795,0.727674,0.717632,0.581755,0.739303,0.60868,0.808785,0.517778,0.786112,0.890048,0.665296,0.816305,0.831575,0.631047,0.79095,0.894724,0.80144,0.569323,0.695949,0.467815,0.723771,0.353644,0.771698,0.237697,0.178048,0.745128,0.487209,0.487428,0.44696,0.409859,0.43776,0.575559,0.485475,0.40661,0.361134,0.502048,0.425694,0.843765,0.823543,0.800947,0.613139,0.749443,0.646068,0.521576,0.439746,0.448518,0.462803,0.709922,0.709652,0.688081,0.69576,0.404206,0.813484,0.731667,0.768549,0.791361,0.775368,0.662687,0.772619,0.783388,0.735346,0.853074,0.867461,0.699477,0.84346,0.837421,0.694376,0.617152,0.887591,0.795313,0.485259,0.548218,0.584853,0.676746,0.494543,0.771497,0.649574,0.128236,0.73233,0.490556,0.599206,0.548678,0.459477,0.49273,0.542847,0.242377,0.49621,0.413329,0.50327,0.485887,0.777193,0.761621,0.794068,0.682646,0.811437,0.769733,0.228374,0.402998,0.416714,0.474246,0.629114,0.825553,0.698766,0.79374
g6,0.775,0.379833,0.838725,0.813619,0.726038,0.80273,0.762764,0.744606,0.767889,0.506833,0.723972,0.827699,0.899183,0.707653,0.84818,0.821643,0.745378,0.620153,0.851394,0.799912,0.745329,0.77134,0.726196,0.751079,0.610307,0.302265,0.699181,0.456176,0.521125,0.663958,0.734156,0.617978,0.462192,0.730233,0.762471,0.692599,0.632853,0.471077,0.28491,0.295004,0.849684,0.818844,0.70243,0.612708,0.812136,0.79927,0.605724,0.558481,0.62255,0.69923,0.650048,0.577462,0.656354,0.704328,0.497779,0.858536,0.808028,0.696296,0.823273,0.706117,0.745029,0.772235,0.657769,0.719848,0.815351,0.887091,0.762391,0.846968,0.834218,0.591371,0.79795,0.896655,0.784509,0.813548,0.768164,0.559553,0.789466,0.707663,0.282756,0.557674,0.632693,0.742985,0.259863,0.410267,0.563446,0.640548,0.767073,0.78017,0.572755,0.774068,0.391482,0.473623,0.612649,0.870842,0.803629,0.767535,0.711982,0.776455,0.736014,0.0603372,0.0113744,0.755758,0.718654,0.670601,0.443478,0.760569,0.785073
g7,0.739952,0.696198,0.82043,0.740068,0.763658,0.672309,0.497425,0.746034,0.548943,0.690618,0.571222,0.658674,0.844232,0.738047,0.836984,0.815882,0.296676,0.773846,0.880521,0.75575,0.70381,0.608356,0.714172,0.741775,0.645171,0.785846,0.633672,0.594965,0.70776,0.328844,0.517375,0.30444,0.700708,0.751933,0.751189,0.526628,0.748174,0.490656,0.259974,0.37579,0.818625,0.741259,0.657863,0.568293,0.783269,0.720415,0.582147,0.376891,0.754688,0.713071,0.797334,0.69,0.582987,0.748792,0.492288,0.837559,0.758889,0.548759,0.600841,0.48987,0.742414,0.479545,0.794054,0.523313,0.702851,0.752031,0.798182,0.840505,0.831638,0.760246,0.741645,0.86248,0.759605,0.673441,0.68631,0.735954,0.789299,0.740321,0.793831,0.760283,0.381862,0.414649,0.670729,0.509525,0.60197,0.687337,0.73875,0.758862,0.662603,0.81009,0.434754,0.556088,0.514527,0.812087,0.713879,0.47185,0.757085,0.751419,0.660203,0.521115,0.461538,0.775983,0.70981,0.676535,0.698755,0.445578,0.662484
g8,0.750412,0.309748,0.835863,0.747827,0.5659,0.74566,0.763814,0.758852,0.6085,0.73935,0.546498,0.63559,0.847508,0.710476,0.82726,0.848366,0.642238,0.63856,0.854699,0.782877,0.707519,0.705116,0.205327,0.790463,0.357796,0.790743,0.204412,0.0127911,0.504738,0.64797,0.691566,0.644075,0.407213,0.638889,0.558644,0.633961,0.509604,0.421029,0.334999,0.237203,0.8668,0.802227,0.761509,0.676147,0.774575,0.763308,0.642324,0.673349,0.569932,0.594618,0.50436,0.203542,0.566082,0.792897,0.539718,0.858015,0.754772,0.655432,0.816728,0.772882,0.649329,0.778218,0.684628,0.754609,0.775026,0.885028,0.6417,0.85196,0.808928,0.706813,0.723183,0.885922,0.734757,0.752936,0.768854,0.652233,0.809087,0.642694,0.791992,0.747554,0.582899,0.665884,0.435415,0.712424,0.795991,0.480746,0.801485,0.808289,0.703312,0.73102,0.580277,0.623627,0.633038,0.865397,0.786996,0.738163,0.664688,0.781337,0.741952,0.546636,0.634636,0.719938,0.769515,0.659207,0.542585,0.612224,0.784889
g9,0.781821,0.513129,0.865253,0.816604,0.622848,0.777225,0.678867,0.776484,0.810334,0.742401,0.752124,0.826999,0.876489,0.702511,0.855015,0.848479,0.671889,0.773578,0.870382,0.834713,0.754482,0.658367,0.671951,0.755064,0.671642,0.832438,0.624613,0.40724,0.746006,0.636324,0.72568,0.390054,0.565836,0.686179,0.743907,0.410785,0.727777,0.174697,0.131579,0.231311,0.872289,0.763072,0.836632,0.552588,0.800184,0.718604,0.588766,0.597207,0.685398,0.615755,0.771847,0.772175,0.734633,0.803618,0.262211,0.809792,0.807031,0.672056,0.827592,0.779637,0.793186,0.763493,0.787639,0.699905,0.838818,0.896273,0.58,0.870805,0.850283,0.685542,0.722287,0.882734,0.756085,0.739011,0.78393,0.772348,0.746806,0.60877,0.865422,0.720021,0.294493,0.741282,0.404138,0.556098,0.643751,0.504526,0.725009,0.740929,0.470724,0.731467,0.190801,0.253315,0.35958,0.854132,0.656701,0.794588,0.64819,0.812645,0.727132,0.227488,0.415808,0.650237,0.718273,0.697427,0.777321,0.726304,0.804107
